"airline_name","link","title","author","author_country","date","content","lounge_name","airport","lounge_type","date_visit","type_traveller","overall_rating","comfort_rating","cleanliness_rating","bar_beverages_rating","catering_rating","washrooms_rating","wifi_connectivity_rating","staff_service_rating","recommended"
"aer-lingus","/lounge-reviews/aer-lingus","Aer Lingus Gold Circle Lounge - Dublin Airport","D Boyne","United Kingdom","2014-08-11","On return to UK visited Aer Lingus lounge. Clean and pleasant enough. Limited facilities and far from gates buried somewhere in terminal 2. At 25euros per person it is very poor value.","AER LINGUS GOLD CIRCLE LOUNGE REVIEW","Dublin Airport","","","","3.0","3","4","3.0","1.0","3.0","4.0","3.0","0"
"aer-lingus","/lounge-reviews/aer-lingus","Aer Lingus Gold Circle Business Class Lounge - Dublin Airport","Sean Leonard","Ireland","2013-11-15","Regularly used this lounge in the past year always found it good used it Saturday 5th October and what a change for the worse no longer provide sandwiches (told they can't find a supplier by one of the staff) so lukewarm soup and brown bread all that was available. No small bottles of sparking water only big bottles that had been opened all day gone flat. A woman told me in bad English that they have stopped the bottles of sparkling water as the airline loses revenue on onboard sales. Felt the whole experience was a let down. Aer Lingus you've done better in the past this is terrible.","AER LINGUS GOLD CIRCLE BUSINESS CLASS LOUNGE REVIEW","Dublin Airport","Business Class","","","2.0","4","3","1.0","1.0","0.0","4.0","2.0","0"
"aer-lingus","/lounge-reviews/aer-lingus","Aer Lingus ""panorama"" Business Class Lounge - Zurich Airport","Steve Patten","Ireland","2013-11-15","Surly and unfriendly receptionists . On my Aer Lingus prestige my wife and I were permitted entry but told my two young children would not be allowed in. Never experienced that in a Gold Circle. So we sat outside and went in to get refreshments. They then watched us and it felt like we were being ""watched"" the entire time. Not even a great lounge. Very budget.","AER LINGUS ""PANORAMA"" BUSINESS CLASS LOUNGE REVIEW","Zurich Airport","Business Class","","","1.0","1","3","1.0","1.0","1.0","1.0","1.0","0"
"aer-lingus","/lounge-reviews/aer-lingus","Aer Lingus ""oasis"" Business Class Lounge - New York JFK Airport","F Hogan","United Kingdom","2013-04-04","The Oasis lounge seems to be shared amongst all the users of T4 at JFK. I didn't see any other lounges. Because of that lack of competition it seems that the staff are just not bothered. The ""welcome"" is perfunctory at best and at worst is really an entitlement check after whether the staff lose interest in the passenger. Signage is poor no times/distances to various gates no advertising other facilities to passengers. Trying to plug in an iPhone charger was tricky as the first 2 sockets I found were both broken exposing the innards of the socket wiring. Seating in the quiet area was not very comfortable. All in all I wouldn't be rushing back.","AER LINGUS ""OASIS"" BUSINESS CLASS LOUNGE REVIEW","New York JFK Airport","Business Class","","","3.0","4","3","4.0","4.0","2.0","4.0","2.0","0"
"aer-lingus","/lounge-reviews/aer-lingus","Aer Lingus Gold Circle Business Class Lounge - Dublin Airport","A O'Connell","Ireland","2012-09-17","Showers toilets decent range of snacks and drinks together with newspapers and mags. It is bright and airy and has a quite zone.","AER LINGUS GOLD CIRCLE BUSINESS CLASS LOUNGE REVIEW","Dublin Airport","Business Class","","","4.0","4","4","4.0","4.0","4.0","5.0","4.0","1"
"aer-lingus","/lounge-reviews/aer-lingus","Aer Lingus Business Class Lounge - Dublin Airport","Alan Wan","United Kingdom","2012-09-10","Bright and spacious lounge. Drink and food selection reasonable but not brilliant. It is on two levels I would choose the upper level as the views are better but food choice slightly better downstairs.","AER LINGUS BUSINESS CLASS LOUNGE REVIEW","Dublin Airport","Business Class","","","4.0","5","4","3.0","3.0","3.0","4.0","4.0","1"
"aer-lingus","/lounge-reviews/aer-lingus","Aer Lingus Business Class Lounge - London Heathrow Airport","Alan Wan","United Kingdom","2012-09-10","I used this lounge for a 9.55am departure. It was not very busy but was claustrophobic. The staff were welcoming and seemed happy to play with a passenger's toddler. The seating could do with a good clean. Food limited - cereal cheap cheese and biscuits and even cheaper croissants. As a Gold Circle member I had free entry - but if you have to pay don't bother.","AER LINGUS BUSINESS CLASS LOUNGE REVIEW","London Heathrow Airport","Business Class","","","3.0","3","3","4.0","2.0","4.0","4.0","4.0","1"
"aer-lingus","/lounge-reviews/aer-lingus","Aer Lingus Gold Circle Business Class Lounge - Dublin Airport","Patrick Jordan","Ireland","2011-09-13","The new lounge spans two floors with views of the apron A water feaTUre dominates one wall. There are work stations and complimentary wifi. The range of food on offer during the early morning is sufficient and a bar service is available. This lounge has own showers and washrooms something the former lounge lacked. The lounge is also open to non FFP members for a 25euro fee.","AER LINGUS GOLD CIRCLE BUSINESS CLASS LOUNGE REVIEW","Dublin Airport","Business Class","","","4.0","5","5","4.0","4.0","4.0","5.0","3.0","0"
"aer-lingus","/lounge-reviews/aer-lingus","Aer Lingus Gold Circle Business Class Lounge - Boston Logan Airport","M Berman","United States","2011-05-03","Sitting here now kicking myself that I bought a day pass. Absolutely the most dismal depressing miserable lounge. In a windowless bunker. Shoddy uncomfortable furniture inedible old sandwiches indifferent attendant. I guess the troubles in Ireland filter down to their Airport lounges.","AER LINGUS GOLD CIRCLE BUSINESS CLASS LOUNGE REVIEW","Boston Logan Airport","Business Class","","","2.0","1","3","3.0","1.0","3.0","1.0","1.0","0"
"aer-lingus","/lounge-reviews/aer-lingus","Aer Lingus Gold Circle Business Class Lounge - London Heathrow Airport","N Holohan","Ireland","2011-05-03","Ample seating including armchairs and full-length recliners. Complimentary WiFi and a number of booths to work on your laptop along with three or four PCs (with very old software!). Staff helpful and courteous. Bar has a selection of hot and cold drinks including soft drinks and alcohol. A limited selection of hot food. Large selection of newspapers.","AER LINGUS GOLD CIRCLE BUSINESS CLASS LOUNGE REVIEW","London Heathrow Airport","Business Class","","","5.0","5","5","5.0","4.0","4.0","5.0","5.0","0"
"aer-lingus","/lounge-reviews/aer-lingus","Aer Lingus Gold Circle Business Class Lounge - Cork Airport","D Berry","Ireland","2011-05-03","Not to the same standard as other lounges (eg. Amsterdam) but actually pretty good. Staff (when they're there) are nice and the lounge has a nice little selection of food and drink and free internet (although fair play to cork it's free throughout the airport). My only issue with cork is that it doesn't open until i think something like 6:00 although the flight to amsterdam leaves at 6:10. As with their other lounges no toilets although this doesn't really bother me that much.","AER LINGUS GOLD CIRCLE BUSINESS CLASS LOUNGE REVIEW","Cork Airport","Business Class","","","3.0","4","4","4.0","3.0","1.0","4.0","4.0","0"
"aer-lingus","/lounge-reviews/aer-lingus","Aer Lingus Gold Circle Business Class Lounge - London Heathrow Airport","J Russell","","2010-05-01","I'm sitting in the lounge a bit incredulous that I paid for access to this. I paid for it because I had a lot of time to kill and it seemed a good way to pass the day. What a gloomy awful lounge. I found this page because I was looking to see if maybe I'd missed something because it seems there is no free WiFi. Completely insane. I thought this was for business travellers? The girl at the desk looked me up and down when I walked in too so apparently despite having a lounge that looks like a 3rd grade classroom without the fun stuff on the walls (or windows) they have a problem with how people dress? I'm neatly attired but I'm flying today so I am absolutely not wearing a suit. Anyway the long and short of it is that the lounge is unfriendly no amenities no toilets no natural light can't really see myself bothering with it again.","AER LINGUS GOLD CIRCLE BUSINESS CLASS LOUNGE REVIEW","London Heathrow Airport","Business Class","","","1.0","1","3","2.0","2.0","0.0","0.0","2.0","0"
"aer-lingus","/lounge-reviews/aer-lingus","Aer Lingus Gold Circle Business Class Lounge - Dublin Airport","Patrick Jordan","","2009-03-18","My first visit to the Gold Circle lounge in many months. I was aware from other reviews of the decrease in size but I didn't expect to see the work stations gone too. The only saving grace is that there is a choice of breads and pastries in the morning.","AER LINGUS GOLD CIRCLE BUSINESS CLASS LOUNGE REVIEW","Dublin Airport","Business Class","","","2.0","2","3","3.0","2.0","0.0","0.0","3.0","0"
"aer-lingus","/lounge-reviews/aer-lingus","Aer Lingus Gold Circle Business Class Lounge - London Heathrow Airport","Patrick Jordan","","2009-03-18","The range of food and beverages is reasonable. The main attraction of this lounge is that it is beside boarding gates. This evening I noticed the red wine bottle was empty. I asked the attendant to replace it but she wasn't able to open the new bottle. I can understand a bottle of wine being used but to have a staff member unable to open another is beyond belief. What used to be a very good lounge has become almost a joke.","AER LINGUS GOLD CIRCLE BUSINESS CLASS LOUNGE REVIEW","London Heathrow Airport","Business Class","","","2.0","2","4","1.0","3.0","0.0","1.0","3.0","0"
"aer-lingus","/lounge-reviews/aer-lingus","Aer Lingus Gold Circle Premier Business Class Lounge - Dublin Airport","Shane Martin","","2009-02-28","The Gold Circle Lounge at EI home airport of Dublin has just been cut in size by around two thirds. Only a corner of the old lounge remains and the rest has been transformed into a staff room. Rather typical of EI really - an airline that typically seems to put staff ahead of customers. What remains of the lounge is mostly hard airport style seating. Not very must when we visited. Limited selection of drinks. Nice cookies. Glasses were very old and a little too dirty to use. Not convenient to most of EI's departure gates (10 min walk and then backtrack + 10 more minutes).","AER LINGUS GOLD CIRCLE PREMIER BUSINESS CLASS LOUNGE REVIEW","Dublin Airport","Business Class","","","1.0","1","1","3.0","1.0","0.0","0.0","2.0","0"
"aer-lingus","/lounge-reviews/aer-lingus","Aer Lingus Gold Circle Business Class Lounge - Chicago O'Hare Airport","Dave Houlihan","","2008-10-30","I have posted previous comments on Aer Lingus lounges but nothing prepared me for the filthy tip that is Chicago Gold Circle lounge. Its tiny dirty furniture all stained ceiling was all stained. Drinks okay no food not even a cracker. I don't normally fly biz class with EI and judging by the reviews and the state of the lounges I never will.","AER LINGUS GOLD CIRCLE BUSINESS CLASS LOUNGE REVIEW","Chicago O'Hare Airport","Business Class","","","2.0","1","2","2.0","0.0","2.0","2.0","2.0","0"
"aer-lingus","/lounge-reviews/aer-lingus","Aer Lingus Gold Circle Business Class Lounge - Boston Logan Airport","Mark Ackery","","2008-10-30","I got to use the Aer Lingus lounge as I was flying on Icelandair. This has got to be the pokiest grubbiest lounge I have ever seen or used. The food was soggy and not fresh and the decor is not very good. Gives a feeling of boredom and gloom. Aer Lingus needs to brighten this lounge up a lot. The lady there was nice and friendly - she was the best part about this lounge.","AER LINGUS GOLD CIRCLE BUSINESS CLASS LOUNGE REVIEW","Boston Logan Airport","Business Class","","","2.0","1","2","3.0","1.0","1.0","2.0","4.0","0"
"aer-lingus","/lounge-reviews/aer-lingus","Aer Lingus Gold Circle Business Class Lounge - Dublin Airport","G Reynolds","","2008-09-29","This lounge has so much potential - it's bright clean and offers sweeping views of the airfield. However the desk staff can range from super-friendly (letting me bring my kids in sometimes) to totally indifferent (too busy gossiping with colleagues to say hello). There is a good range of drinks on offer but food is poor and is restricted to bags of twiglets (does anyone actually like them??!) and crackers with DUTCH cheese (so much for strong Irish brand identity which Aer Lingus supposedly prides itself on). Plus there is a charge for internet usage which is a shame.","AER LINGUS GOLD CIRCLE BUSINESS CLASS LOUNGE REVIEW","Dublin Airport","Business Class","","","2.0","4","3","3.0","1.0","1.0","1.0","3.0","0"
"aer-lingus","/lounge-reviews/aer-lingus","Aer Lingus Gold Circle Business Class Lounge - Dublin Airport","S Halford","","2008-08-19","Very basic but better than filthy overcrowded terminal. Food choice limited to biscuits and packaged cheddar cheese. Good selection of drinks - alcoholic and non. Staff friendly to indifferent depending on when you visit. Washrooms outside lounge - shared with other lounges and filthy.","AER LINGUS GOLD CIRCLE BUSINESS CLASS LOUNGE REVIEW","Dublin Airport","Business Class","","","2.0","2","2","3.0","0.0","0.0","2.0","2.0","0"
"aer-lingus","/lounge-reviews/aer-lingus","Aer Lingus Oasis Business Class Lounge - New York JFK Airport","S Halford","","2008-08-19","Excellent lounge with good selection of food drink and newspapers. Wifi access etc. I suspect that the high standards are not down to Aer Lingus as the lounge is shared with a number of major international airlines. I say this because the Aer Lingus exclusive lounges at Dublin (home base) and London Heathrow are extremely poor by comparison. Their lounges at Chicago O'Hare and Boston are amongst the worse I have ever encountered.","AER LINGUS OASIS BUSINESS CLASS LOUNGE REVIEW","New York JFK Airport","Business Class","","","5.0","5","5","5.0","4.0","4.0","5.0","4.0","0"
"aer-lingus","/lounge-reviews/aer-lingus","Aer Lingus Gold Circle Business Class Lounge - London Heathrow Airport","David Andrews","","2008-07-04","Everyone agrees that this lounge beats sitting in the awful ""tube"" outside but that's about it. Aer Lingus you need to incorporate free WiFi some food e.g sandwiches or whatever and get some toilets in there. This is as another user points out barely worth the trouble of keeping up Gold Circle Membership for.","AER LINGUS GOLD CIRCLE BUSINESS CLASS LOUNGE REVIEW","London Heathrow Airport","Business Class","","","1.0","1","2","2.0","1.0","1.0","1.0","1.0","0"
"aeroflot-russian-airlines","/lounge-reviews/aeroflot-russian-airlines","Af/klm - Bangkok Suvarnabhumi Airport","C Wajsberg","Israel","2015-07-05","Air France lounge spacious without being nice, just practical. Breakfast consisted of croissants and some other food. On the Asian side different filled pastries and instant noodles. Plenty of fresh fruit also available. Alcohol and wine bar fully stocked already, even if it was 8 am and serve yourself as much as you want. Fine relaxing lounge with all you can wish for.","AF/KLM","Bangkok Suvarnabhumi Airport","Business Class","","Business","9.0","4","4","5.0","4.0","4.0","5.0","4.0","1"
"aeroflot-russian-airlines","/lounge-reviews/aeroflot-russian-airlines","Galaxy - Moscow Sheremetyevo Airport","H Dalem","Netherlands","2015-06-20","The Galaxy Lounge at the E-Terminal looks a bit dated. It is a large and very open space. Enough different seating arrangements. A separate space for computers. And a food and drinks counter. Due to the open space one can hear almost every conversation. To make things worse they play loud music. Food is ok. Enough choice but not much of a display. Drinks are also ok. Enough choice. Alcohol you have to ask (except beer). WiFi speed is great and free. Shower room is a strange affair. You get a 'space towel' and some slippers. If you don't bring your own shampoo and/or soap, you are left with only water to wash yourself. The towel is a big paper cloth you can dispose of after the shower. Slippers have the same design. You don't enter this space for a spa treatment, but it does refresh. If you have to sit here for a long time this will not be a relaxing experience.","Galaxy","Moscow Sheremetyevo Airport","Business Class","","Business","6.0","3","4","3.0","3.0","3.0","5.0","4.0","1"
"aeroflot-russian-airlines","/lounge-reviews/aeroflot-russian-airlines","Aeroflot Business Class Lounges - Moscow Sheremetyevo Airport","C Wajsberg","Israel","2015-05-09","Small lounge with not enough comfortable chairs. No english or international reading material. Wifi works well. Food of very poor quality and boring. Was surely not impressed by this lounge but have visited worse in my life.","AEROFLOT BUSINESS CLASS LOUNGE REVIEWS","Moscow Sheremetyevo Airport","Business Class","","","3.0","2","4","2.0","1.0","4.0","5.0","4.0","0"
"aeroflot-russian-airlines","/lounge-reviews/aeroflot-russian-airlines","Aeroflot Business Class Lounges - Moscow Sheremetyevo Airport","Anders Pedersen","Denmark","2013-04-04","Aeroflot Galaxy Galaktica Sirius Classic Jazz and Blues Lounges in SVO. Access while travelling on business require invitation card from transfer desk but happened smoothly. In SVO you are semi-free to choose which of 4-5 Aeroflot lounges you want access to. I prefer the newest Galaktica (=Galaxy) in terminal E Classic in terminal F and Blues in terminal D. Other lounges like Sirius in E and Jazz in D (a parallel or copy of Blues) must wait for another time (Sirius is a special lounge at terminal E - only for disabled – it is virtually a requirement for entering!). Drinks plenty – up to medium quality. Lounge hopping not always possible - even by use of SKY-gold card. Lounges prefer you stay at the lounges at departing gate but it depends on staff. Galaktika is the best of all of those I know big and smart design and colourful orange furniture with good business and smoking sections – further it has views to and outside airport. Other lounges do not have views. Views are much better from the commercial areas outside the lounges. Food is bread oriented but heating of croissants sandwiches bread rolls are possible. Some lounges (at least Classic) sells quality hot food at an additional price like a restaurant within the lobby. Showers fine but scarce.","AEROFLOT BUSINESS CLASS LOUNGE REVIEWS","Moscow Sheremetyevo Airport","Business Class","","","3.0","3","4","3.0","2.0","5.0","5.0","2.0","1"
"aeroflot-russian-airlines","/lounge-reviews/aeroflot-russian-airlines","Aeroflot Galactica Business Class Lounge - Moscow Sheremetyevo Airport","B Li","China","2011-09-17","The reception turned me back to a transit desk for lounge invitation. Then I was turned again to a transit lounge nearby where I finally got the invitation printed out. Due to transit I was entitled to a lounge in terminal F (Sheremyetevo Classic) but remembering its poor dungeon-like conditions I sneaked into the Galactica - offering more space and windows. Food - only cold snacks (potato chips crackers peanuts bread with cheese bread with some sausage etc). Drinks - range of soft drinks and alcohol. Free WiFi. Lounge quite clean toilets inside shower room and smoking room under construction. On the way to the gate entered Sheremyetevo Classic lounge to find it has been refurbished - larger (but still much smaller than Galactica) completely renovated. Food the same in both lounges but I've noticed champagne available in the Classic. A smoking room inside available.","AEROFLOT GALACTICA BUSINESS CLASS LOUNGE REVIEW","Moscow Sheremetyevo Airport","Business Class","","","3.0","3","3","3.0","1.0","3.0","5.0","3.0","0"
"aeroflot-russian-airlines","/lounge-reviews/aeroflot-russian-airlines","Aeroflot Business Class ""travellers Lounge"" - Hong Kong Airport","B Li","China","2011-09-17","Aeroflot used CX's The Wing lounge before so I was worried a bit about the new one. The Traveller's is not as airy and spacy as The Wing however well equipped and nice too. Many warm options for breakfast and free access to the alcohol bar. Just 2 showers (so you have to wait for your turn) maintained well and clean. Overall okay experience with good food and drinks.","AEROFLOT BUSINESS CLASS ""TRAVELLERS LOUNGE"" REVIEW","Hong Kong Airport","Business Class","","","4.0","4","5","4.0","5.0","4.0","4.0","4.0","0"
"aeroflot-russian-airlines","/lounge-reviews/aeroflot-russian-airlines","Aeroflot Business Class Lounge - Moscow Sheremetyevo Airport","S Khan","","2008-12-30","A throwback to the old Soviet era - except that they have 3 PCs with Internet access. The food is pretty bad: couple of bread rolls - but where is the margarine? Newspapers and magazines are all Russian - yet this lounge is for all Skyteam airlines. Bathrooms aren't clean. Sofas are pretty comfortable but there's no window view. A couple of television sets that are running the same damn Russian TV channel.","AEROFLOT BUSINESS CLASS LOUNGE REVIEW","Moscow Sheremetyevo Airport","Business Class","","","2.0","2","2","1.0","1.0","1.0","2.0","2.0","0"
"aeroflot-russian-airlines","/lounge-reviews/aeroflot-russian-airlines","Aeroflot Business Class Lounge - Moscow Sheremetyevo Airport","Mike Franklin","","2007-11-02","Oh dear nothing changes here! Not allowed into the lounge until 2 hours before flight despite having a 5 hour layover. Once in the lounge you wonder what the wait was for. No natural light lounge arrange in 3 areas all rather dark and at peak times impossible to find a seat. The food is poor to say the least and staff at beverage counter seem reluctant to offer drinks! There are some PCs at one end but very variable connection and not very useful. Small toilet area no showers - all in all a disgrace for a SkyTeam member airline.","AEROFLOT BUSINESS CLASS LOUNGE REVIEW","Moscow Sheremetyevo Airport","Business Class","","","2.0","1","2","2.0","2.0","1.0","2.0","2.0","0"
"aeromexico","/lounge-reviews/aeromexico","Aeromexico Business Class Lounge Customer - Mexico City Airport","Tammu Karte","United States","2014-04-14","It took a long walk and searching to arrive at the Premier International lounge after mistakenly entering the Domestic one in Terminal 2. There seems to be a shortage of cool air in the public areas of the terminal and the Business Lounge did not provide a relief at that point. Air seems to be in short supply here and was replenished every twenty minutes which seemed to be a long time when the indoor temperature reached 80F. The lounge is spacious with food offering that included: stale sandwiches good mini cheese cakes a good variety of packaged sweet and salty snacks cold drinks and unrefrigerated “iced” tea. Computers for usage was complimentary.","AEROMEXICO BUSINESS CLASS LOUNGE CUSTOMER REVIEW","Mexico City Airport","Business Class","","","3.0","3","3","3.0","2.0","2.0","4.0","2.0","1"
"aeromexico","/lounge-reviews/aeromexico","Aeromexico Business Class ""skyteam"" Lounge - London Heathrow Airport","G Smith","United Kingdom","2014-03-03","I am writing this review as I sit in the lounge. Door understaffed & young man at desk very obviously nicer to male clients than myself as a solo middle aged woman. Lounge is poorly set up rather like a bus station where toomany travellers require seats for their bags & coats. Food selection is the worst I've seen in a lounge. Drinks selection is better but they sure do not hurry to put out the bubbly. The latest empty has been sitting on a counter for a half hour now. In general lots of empties left around to point some travellers are clearing up instead. Wifi works well at least.","AEROMEXICO BUSINESS CLASS ""SKYTEAM"" LOUNGE REVIEW","London Heathrow Airport","Business Class","","","2.0","2","2","2.0","1.0","3.0","4.0","1.0","0"
"aeromexico","/lounge-reviews/aeromexico","Aeromexico Business Class Salon Premier Lounge Customer - Mexico City Airport","Juan Fernando","","2010-08-09","Very nice used it late in the night so not too many people. Nice selection of liquors and spirits. No food (only snacks as pastries some fruit granola peanuts and crackers) as their policy is to serve food only during Mexican meal times (7-9 am 2-4 pm 8-10pm). They have a wine club (paying customers) with excellent sandwiches. Nice selection of local newspapers but they should add some international newspapers and magazines. They have showers toilets video games section for kids internet area free wifi. Staff friendly and professional.","AEROMEXICO BUSINESS CLASS SALON PREMIER LOUNGE CUSTOMER REVIEW","Mexico City Airport","Business Class","","","4.0","5","4","4.0","4.0","4.0","4.0","4.0","0"
"aeromexico","/lounge-reviews/aeromexico","Aeromexico Salon Premier Business Class Lounge - Tijuana Airport","R Scot","","2009-01-09","Fairly basic lounge. Nice enough but a little crowded. Good selection of self serve alcohol and soft drinks. No real food beyond peanuts and stuff. Decent wireless and 4-6 internet terminals. Overall pretty nice for Tijuana.","AEROMEXICO SALON PREMIER BUSINESS CLASS LOUNGE REVIEW","Tijuana Airport","Business Class","","","3.0","3","3","4.0","2.0","3.0","4.0","3.0","0"
"aeromexico","/lounge-reviews/aeromexico","Aeromexico Business Class Lounge - Mexico City Airport","Ray Miles","","2008-02-20","Mexico City's new terminal 2 was barely up and running when I flew out on a Copa Airlines flight that gave me access to the Aeromexico lounge. The lounge is upstairs and is light elegant and airy albeit with no windows onto the tarmac. Comfy seating a separate computer area wifi throughout and attractive palm trees add a festive air. There is a circular bar that was unmanned during my visit plus a smaller self-service bar with an excellent selection of drinks and classy snacks. There is a separate screened-off TV lounge and another wine bar at the back for paying customers only. Since the lounge was brand-new it was obvious an effort was being made to impress. It will be important to monitor progress as time passes to see if the high standard in maintained.","AEROMEXICO BUSINESS CLASS LOUNGE","Mexico City Airport","Business Class","","","4.0","5","4","4.0","4.0","4.0","4.0","4.0","0"
"air-astana","/lounge-reviews/air-astana","Air Astana Business Class Lounge Customer - Almaty Airport","J Williams","","2009-06-04","I wouldn't really call it a business class lounge. Its basically just seats in a bar that are reserved for Business Class passengers. There are no free refreshments and although there are a wide range of drinks and snacks available they are all quite expensive.","AIR ASTANA BUSINESS CLASS LOUNGE CUSTOMER REVIEW","Almaty Airport","Business Class","","","2.0","2","3","3.0","2.0","0.0","0.0","1.0","0"
